"Address","Zip","District","TotalComplaintRecs","SevereConditions","DisplacementNotices","EvictionNotices","OpenUnresolved","NoHeatComplaints","NoWaterComplaints","SewageComplaints","PermitMatch","TotalPermits","Demolitions","ECA_Exemptions","Add_Alterations","New_Construction","ChangeOfUse","HousingUnitsRemoved","HousingUnitsAdded","OwnerOccClaims","FirstSevereDate","FirstDisplacementDate","FirstDemoPermitDate","LastPermitDate","SevereBeforeDemo","DispNearDemo","YearsActive","Typology"
"2349 W NEWTON ST","98199","7","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","2024-07-22","0","0","2024","Other"
"11356 23RD AVE NE","","5","4","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","2022-07-05","0","0","2022;2023","Other"
"204 BROADWAY E","98102","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2016","Other"
"2061 INTERLAKEN PL E","98112","3","2","0","0","0","0","0","0","0","1","3","0","1","1","0","0","0","0","0","","","","2019-05-23","0","0","2010","Other"
"3633 C WALLINGFORD AVE N","98103","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2021","Other"
"4727 SANDPOINT WAY NE","98105","","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"112 13TH AVE","98122","3","13","0","1","1","2","0","2","0","1","5","0","0","5","0","0","0","0","0","","2016 OCT 31 12:00:00 AM","","2014-05-28","0","0","2012;2015;2016;2024","Other"
"424 31ST AVE E","98112","3","2","0","0","0","1","0","0","0","1","7","1","0","0","2","0","0","0","0","","","2019-06-27","2019-06-27","0","0","2019","Other"
"3049 29TH AVE W","98199","6","2","0","0","0","2","0","0","0","1","5","0","0","3","0","0","0","0","0","","","","2025-12-23","0","0","2025","Other"
"7957 45TH AVE S","98118","2","2","0","0","0","1","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","2022-08-01","0","0","2022;2023","Other"
"13718 PALATINE AVE N","98133","5","1","0","0","0","0","0","0","0","1","6","0","0","3","0","0","0","0","0","","","","2020-10-14","0","0","2019","Other"
"2845 23RD AVE W","98199","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2009","Other"
"9003 30TH AVE SW","98126","1","9","0","0","0","1","0","0","0","1","4","0","0","1","1","0","0","0","0","","","","2024-10-09","0","0","2017;2018;2022;2023;2024;2025","Other"
"3606 NE 70TH ST","98115","4","1","0","0","0","1","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","2024-11-27","0","0","2025","Other"
"6719 31ST AVE SW","","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","2024 JAN 11 12:00:00 AM","","","0","0","2024","Other"
"7935 DENSMORE AVE N","98103","6","1","0","0","0","0","0","0","0","1","3","1","0","0","1","0","0","0","0","","","2007-03-06","2007-03-06","0","0","2006","Other"
"4004 59TH AVE SW","98116","1","4","0","0","0","1","0","0","0","1","7","0","1","3","1","0","0","0","0","","","","2005-09-07","0","0","2006;2008;2015","Other"
"324 15TH AVE E","98112","3","3","0","0","0","1","0","0","0","1","3","0","0","2","0","0","0","0","0","","","","2025-11-05","0","0","2011","Other"
"3816 NE 93RD ST","98115","4","1","0","0","0","0","0","0","0","1","2","0","1","0","1","0","0","0","0","","","","2013-06-12","0","0","2014","Other"
"10401 66TH AVE S","98178","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2008;2014;2015","Other"
"4405 RAINIER AVE S","98118","2","2","0","0","0","1","2","0","0","1","2","0","0","1","0","0","0","0","0","","","","2019-10-17","0","0","2019","Other"
"1525 4TH AVE","98101","7","1","0","0","0","0","0","0","0","1","3","0","0","2","0","0","0","0","0","","","","2007-10-09","0","0","2006","Other"
"1836 40TH AVE E","98112","3","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2008-01-09","0","0","2008","Other"
"2116 W DRAVUS ST","98199","7","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"519 W RAYE ST","98119","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2004;2005;2006","Other"
"2151 6TH AVE","98121","7","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2012-12-31","0","0","2017","Other"
"8907 31ST AVE NW","98117","6","1","0","0","0","0","0","0","0","1","3","0","0","2","0","0","0","0","0","","","","2021-02-05","0","0","2007","Other"
"3044 S AUSTIN ST","98108","2","1","0","0","0","1","0","0","0","1","4","0","0","2","0","0","0","0","0","","","","2016-12-02","0","0","2020","Other"
"731 FEDERAL AVE E","98102","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"4736 25TH AVE SW","98106","1","24","0","2","0","0","0","0","0","1","4","1","1","0","1","0","0","0","0","","2012 OCT 25 12:00:00 AM","2016-11-16","2017-03-27","0","0","2004;2007;2009;2010;2011;2012;2013;2014;2017","RedevelopDisplacer"
"3004 5TH AVE W","","7","2","0","0","0","0","0","0","0","1","5","0","0","0","1","0","0","0","0","","","","2016-08-11","0","0","2016;2020","Other"
"116 N 112TH ST","98133","5","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2007-09-17","0","0","2022","Other"
"2420 6TH AVE W","98119","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2019","Other"
"11051 ARROYO BEACH PL SW","98146","1","3","0","0","0","0","0","0","0","1","3","1","1","0","1","0","0","0","0","","","2013-09-19","2013-09-19","0","0","2015","Other"
"13745 15TH AVE NE","98125","5","3","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","2021 AUG 30 12:00:00 AM","","","0","0","2014;2021","Other"
"4219 INTERLAKE AVE N","98103","4","18","0","0","0","0","0","0","0","1","3","1","0","0","1","0","0","0","0","","","2021-09-20","2021-09-20","0","0","2004;2006;2008;2009;2012;2015;2016;2017;2018","Other"
"12241 DENSMORE AVE N","98133","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"1042 S DIRECTOR ST","98108","1","1","0","0","0","0","0","0","0","1","5","0","0","0","3","0","0","0","0","","","","2022-05-24","0","0","2024","Other"
"6413 SAND POINT WAY NE","98115","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2023","Other"
"525 NE 96TH PL","98115","5","2","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2019-07-23","0","0","2005","Other"
"319 W DRAVUS ST","98119","7","1","0","0","0","1","0","0","0","1","10","4","0","0","2","0","0","0","0","","","2025-10-13","2025-06-17","0","0","2025","Other"
"10202 EVANSTON AVE N","98133","5","12","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2013-08-02","0","0","2021;2022;2023;2025","Other"
"5138 S BANGOR ST","","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2024;2025","Other"
"7400 25TH AVE NE","98115","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2012","Other"
"13707 GREENWOOD AVE N","98133","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2023","Other"
"3616 23RD AVE W","98199","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2008","Other"
"6204 A SEAVIEW AVE NW","98107","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2023","Other"
"1716 N 85TH ST","98103","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2017","Other"
"2334 N 50TH ST","98103","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2023","Other"
"5907 46TH AVE SW","98136","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006","Other"
"7158 32ND AVE SW","98126","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2012","Other"
"8719 25TH AVE NE","98115","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2012","Other"
"3340 CLAREMONT AVE S","98144","2","1","0","0","0","0","0","0","0","1","3","0","0","0","1","0","0","0","0","","","","2009-10-06","0","0","2024","Other"
"1120 DENNY WAY","98109","7","18","0","0","0","4","0","0","0","1","25","1","0","6","4","1","0","0","0","","","2017-01-20","2023-12-13","0","0","2017;2018;2019;2021;2022","Other"
"4733 ROOSEVELT WAY NE","","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"528 QUEEN ANNE AVE N","98109","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"3252 10TH AVE W","98119","7","3","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2024-10-31","0","0","2015;2023","Other"
"3750 S PERRY ST","98118","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2009;2022;2025","Other"
"3718 S CLOVERDALE ST","98118","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2009;2015","Other"
"7537 ROOSEVELT WAY NE","98115","4","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","2021 JUN 18 12:00:00 AM","","","0","0","2021","Other"
"1008 4TH AVE N","98109","7","3","0","0","0","0","0","0","0","1","2","0","1","1","0","0","0","0","0","","","","2009-08-28","0","0","2004;2009","Other"
"1419 SW TRENTON ST","98106","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2010","Other"
"4422 WOODLAWN AVE N","98103","4","5","0","0","0","0","0","0","0","1","3","1","0","0","1","0","0","0","0","","","2016-02-18","2016-10-11","0","0","2013;2015;2017","Other"
"8400 35TH AVE NE","98115","4","4","0","0","0","0","0","0","0","1","11","1","0","4","1","0","0","0","0","","","","2025-12-23","0","0","2008;2013;2016;2021","Other"
"7705 15TH AVE NW","98117","6","12","0","0","0","2","0","0","0","1","12","2","0","0","3","0","0","0","0","","","2018-12-02","2023-07-03","0","0","2017;2019;2021;2022;2023;2024","Other"
"4516 GREENWOOD AVE N","98103","6","8","0","0","0","1","0","0","0","1","3","1","0","1","0","0","0","0","0","","","2019-06-26","2019-06-26","0","0","2014;2019;2020","Other"
"5720 S ORCAS ST","","2","1","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2019-09-27","0","0","2020","Other"
"3845 NE 89TH ST","98115","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2010","Other"
"1522 10TH AVE W","98119","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006","Other"
"2112 NE 65TH ST","98115","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2018","Other"
"11225 35TH AVE SW","98146","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006","Other"
"2302 S GRAHAM ST","98108","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2019;2022","Other"
"4817 A DELRIDGE WAY SW","98106","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"1522 5TH AVE","98101","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2023;2024","Other"
"523 11TH AVE E","98102","3","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022;2025","Other"
"7506 11TH AVE SW","98106","1","4","0","1","1","1","0","0","0","1","2","0","0","1","0","0","0","0","0","","2024 MAR 26 12:00:00 AM","","2021-10-12","0","0","2022;2023;2024","Other"
"502 18TH AVE E","98112","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"2215 N 54TH ST","98103","6","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2023","Other"
"9523 9TH AVE NW","98117","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2019;2023","Other"
"2105 38TH AVE E","98112","3","2","0","0","0","0","0","0","0","1","7","1","0","0","2","0","0","0","0","","","","","0","0","2024","Other"
"8310 29TH AVE NW","98117","6","2","0","0","0","0","0","0","0","1","4","0","0","2","0","0","0","0","0","","","","2023-08-25","0","0","2024","Other"
"3832 EASTERN AVE N","98103","4","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022;2023","Other"
"1300 HUBBELL PL","98101","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2009","Other"
"4470 35TH AVE SW","98126","1","2","0","0","0","0","0","0","0","1","5","1","0","3","0","0","0","0","0","","","2025-11-06","2025-11-06","0","0","2019;2025","Other"
"3403 28TH AVE W","98199","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2005;2009","Other"
"1850 N 34TH ST","98103","4","6","0","0","0","2","0","0","0","1","1","0","0","0","1","0","0","0","0","","","","2015-01-07","0","0","2018;2020;2021;2023;2025","Other"
"13281 AURORA AVE N","98133","5","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","0","0","2021","Other"
"7530 20TH AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"931 NW 62ND ST","98107","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"6553 18TH AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2008","Other"
"736 BELMONT PL E","98102","3","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","","2016 APR 20 12:00:00 AM","2017-02-13","2017-02-13","0","1","2016","RedevelopDisplacer"
"725 N 95TH ST","98103","5","2","0","0","0","0","0","0","0","1","3","1","0","0","1","0","0","0","0","","","2008-01-17","2008-01-17","0","0","2007;2008","Other"
"2841 MAGNOLIA BLVD W","98199","6","3","0","0","0","1","0","0","0","1","5","0","1","2","0","0","0","0","0","","","","2023-09-18","0","0","2015;2025","Other"
"6500 52ND AVE S","98118","2","1","0","0","0","0","0","0","0","1","7","0","1","3","0","0","0","0","0","","","","2025-05-16","0","0","2013","Other"
"7703 11TH AVE NW","98117","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006;2017;2019;2021","Other"
"3326 NE 123RD ST","98125","5","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","2023 JUN 15 12:00:00 AM","","","0","0","2023","Other"
"946 N 87TH ST","98103","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2024","Other"
"4257 9TH AVE NE","98105","4","4","0","0","0","1","2","0","0","1","2","1","0","0","0","0","0","0","0","","","2013-01-29","2013-01-29","0","0","2004;2012;2019","Other"
"2711 E YESLER WAY","98122","3","1","0","1","0","0","0","0","0","1","12","1","0","1","2","0","0","0","0","","2018 JAN 16 12:00:00 AM","2018-10-01","2018-10-01","0","1","2018","RedevelopDisplacer"
"837 N 34TH ST","98103","6","3","0","0","0","1","0","0","0","1","50","0","3","20","0","1","0","0","0","","","","2022-05-09","0","0","2012;2022","Other"
"1524 NW 52ND ST","98107","6","2","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","2019-09-17","0","0","2018;2025","Other"
"2228 BONAIR PL SW","98116","1","2","0","0","0","0","0","0","0","1","4","0","1","3","0","0","0","0","0","","","","2013-07-19","0","0","2007","Other"
"1640 MAGNOLIA BLVD W","98199","6","1","0","0","0","0","0","0","0","1","2","0","1","1","0","0","0","0","0","","","","2008-12-08","0","0","2022","Other"
"5620 AIRPORT WAY S","98108","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"8617 17TH AVE SW","98106","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2004","Other"
"2045 42ND AVE E","98112","3","1","0","0","0","0","1","0","0","1","3","0","0","3","0","0","0","0","0","","","","2007-11-01","0","0","2007","Other"
"802 TERRY AVE","98104","3","1","0","0","0","0","0","0","0","1","18","0","0","8","1","0","0","0","0","","","","2015-05-21","0","0","2022","Other"
"9015 39TH AVE S","98118","2","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2013","Other"
"2108 N 39TH ST","98103","4","1","0","0","0","0","0","0","0","1","4","0","0","2","0","0","0","0","0","","","","2017-09-09","0","0","2006","Other"
"11746 NORTH PARK AVE N","98133","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"946 13TH AVE E","98102","3","2","0","0","0","0","0","0","0","1","3","0","0","1","0","0","0","0","0","","","","2022-03-30","0","0","2005","Other"
"1924 14TH AVE W","98119","7","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022;2023","Other"
"1227 SW MYRTLE ST","98106","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2013","Other"
"2835 30TH AVE W","98199","6","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2021","Other"
"12238 4TH AVE NW","98177","5","2","0","0","0","0","0","0","0","1","8","1","0","0","3","0","0","0","0","","","","2026-01-20","0","0","2009;2023","Other"
"747 S CHICAGO ST","98108","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2011","Other"
"7981 46TH AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2010","Other"
"207 N 104TH ST","98133","5","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2021","Other"
"2133 DEXTER AVE N","","7","2","0","1","0","0","0","0","0","1","7","1","1","0","1","0","0","0","0","","2014 NOV 07 12:00:00 AM","2017-07-05","2017-07-05","0","0","2014;2018","RedevelopDisplacer"
"5513 RAINIER AVE S","98118","2","2","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","","","","2014-10-30","0","0","2015;2019","Other"
"5426 36TH AVE SW","98126","1","2","0","0","0","0","0","0","0","1","4","0","0","2","0","0","0","0","0","","","","2021-04-01","0","0","2021","Other"
"1025 STURGUS AVE S","98144","2","7","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2014-08-07","0","0","2013;2020","Other"
"928 NW 51ST ST","98107","6","5","0","2","1","1","0","0","0","1","6","0","0","0","1","0","0","0","0","","2016 AUG 15 12:00:00 AM","","2017-01-06","0","0","2012;2016;2018","Other"
"5830 EAST GREEN LAKE WAY N","98103","6","2","0","0","0","0","0","0","0","1","2","0","1","1","0","0","0","0","0","","","","2011-05-27","0","0","2012","Other"
"3227 A BEACON AVE S","98144","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2021","Other"
"5680 24TH AVE NW","98107","6","10","0","0","0","1","0","0","0","1","4","0","0","2","0","0","0","0","0","","","","2025-07-25","0","0","2024;2025","Other"
"5657 37TH AVE SW","98126","1","3","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2016-02-24","0","0","2015;2021","Other"
"8043 WALLINGFORD AVE N","98103","6","1","0","0","0","0","0","0","0","1","3","1","0","0","1","0","0","0","0","","","2023-01-30","2023-01-30","0","0","2018","Other"
"7323 WRIGHT AVE SW","98136","1","2","0","0","0","1","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2025-05-19","0","0","2024","Other"
"326 NW 50TH ST","98107","6","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2008-01-03","0","0","2016","Other"
"6034 5TH AVE NE","98115","6","1","0","0","0","1","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","2022-07-08","0","0","2025","Other"
"12324 33RD AVE NE","98125","5","3","0","2","2","0","0","0","0","1","3","1","0","0","1","0","0","0","0","","2017 OCT 19 12:00:00 AM","2006-04-11","2006-04-11","0","0","2006;2017","RedevelopDisplacer"
"5311 33RD AVE S","98118","2","5","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2012-09-05","0","0","2007;2013","Other"
"123 NW 51ST ST","98107","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"2736 61ST AVE SW","98116","1","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","2024 SEP 20 12:00:00 AM","","","0","0","2024;2025","Other"
"2140 B SW HOLDEN ST","98106","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2023","Other"
"1814 3RD AVE N","98109","7","2","0","0","0","0","0","0","0","1","8","0","0","5","0","0","0","0","0","","","","2018-07-02","0","0","2009","Other"
"7925 48TH AVE S","98118","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2004","Other"
"9044 21ST AVE SW","98106","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2024","Other"
"9739 GREENWOOD AVE N","98103","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2006;2019","Other"
"734 20TH AVE E","98112","3","1","0","0","0","0","0","0","0","1","4","0","0","2","0","0","0","0","0","","","","2024-04-02","0","0","2017","Other"
"5617 41ST AVE SW","98136","1","2","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2006-10-17","0","0","2006","Other"
"6019 MCKINLEY PL N","98103","6","2","0","0","0","2","0","0","0","1","3","0","0","2","0","0","0","0","0","","","","2021-12-20","0","0","2021","Other"
"4510 22ND AVE NE","98105","4","1","0","0","0","0","0","0","0","1","3","0","0","2","0","0","0","0","0","","","","2016-05-12","0","0","2022","Other"
"1731 NW 63RD ST","98107","6","2","0","0","0","1","0","0","0","1","3","0","0","1","0","0","0","0","0","","","","2017-09-14","0","0","2017","Other"
"3848 46TH AVE SW","","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2019;2024;2025","Other"
"101 32ND AVE E","98112","3","1","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","2015-06-13","0","0","2015","Other"
"10342 RAVENNA AVE NE","98125","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2007","Other"
"1901 N 45TH ST","98103","4","4","0","0","0","1","0","0","0","1","7","1","0","2","0","0","0","0","0","","","2023-12-29","2026-01-27","0","0","2022;2023;2024","Other"
"9258 15TH AVE SW","98106","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"1811 E SPRUCE ST","98122","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2007","Other"
"9723 31ST AVE SW","98126","1","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2004;2016","Other"
"10201 HOLYOKE WAY S","98178","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2021","Other"
"229 11TH AVE E","98102","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2010;2021","Other"
"420 2ND AV ET S","98104","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2018","Other"
"12001 20TH AVE NE","98125","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2017","Other"
"403 NW 45TH ST","98107","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2007","Other"
"9515 HOLMAN RD NW","98117","5","4","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","0","0","","","","2024-01-03","0","0","2004;2022;2025","Other"
"1432 S KING ST","98144","3","1","0","0","0","0","0","0","0","1","6","1","0","0","2","0","0","0","0","","","2016-09-23","2016-09-23","0","0","2017","Other"
"4540 15TH AVE S","98108","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"4827 12TH AVE S","98108","2","5","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2010-07-12","0","0","2004;2006;2022","Other"
"1407 W DRAVUS ST","98119","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2024","Other"
"8014 34TH AVE S","98118","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"7915 45TH AVE S","98118","2","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"2701 NE 91ST ST","98115","4","2","0","0","0","0","0","0","0","1","5","0","0","3","0","0","0","0","0","","","","2020-09-01","0","0","2011","Other"
"7001 ROOSEVELT WAY NE","98115","4","5","0","1","0","1","0","0","0","1","5","1","0","0","1","0","0","0","0","","2025 MAY 21 12:00:00 AM","2019-12-03","2019-12-03","0","0","2018;2020;2025","RedevelopDisplacer"
"3856 41ST AVE S","98118","2","2","0","0","0","1","0","0","0","1","4","0","0","3","0","0","0","0","0","","","","2020-01-31","0","0","2013;2021","Other"
"3911 CORLISS AVE N","98103","4","1","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","","","","2010-11-05","0","0","2022","Other"
"2436 NW MARKET ST","98107","6","3","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","","","2012-07-03","2012-07-03","0","0","2012;2025","Other"
"5105 BALLARD AVE NW","98107","6","2","0","0","0","0","0","0","0","1","8","0","0","5","0","0","0","0","0","","","","2025-04-21","0","0","2016","Other"
"1302 N 88TH ST","98103","5","1","0","0","0","0","0","0","0","1","5","1","0","1","1","0","0","0","0","","","2008-02-19","2009-10-27","0","0","2008","Other"
"3206 34TH AVE W","98199","6","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2025","Other"
"3638 36TH AVE S","98144","2","2","0","0","0","2","0","0","0","1","2","0","0","0","1","0","0","0","0","","","","2021-02-23","0","0","2021;2022","Other"
"4225 S BRIGHTON ST","98118","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2015","Other"
"3607 W COMMODORE WAY","98199","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2004","Other"
"4110 EVANSTON AVE N","98103","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2005","Other"
"325 7TH AVE S","98104","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2022","Other"
"5045 FAUNTLEROY WAY SW","98136","1","8","0","1","0","1","0","0","0","1","2","1","0","0","0","0","0","0","0","","2025 JUN 17 12:00:00 AM","2025-09-26","2025-09-26","0","1","2012;2020;2021;2025","RedevelopDisplacer"
